CensusTract,Total_Population
39035101101,1903
39035101102,4516
39035101200,2640
39035101300,1897
39035101400,1932
39035101501,2561
39035101603,2571
39035101700,2625
39035101800,2331
39035101901,1706
39035102101,2957
39035102102,2819
39035102200,2824
39035102300,2261
39035102401,2271
39035102402,3459
39035102700,4385
39035102800,1956
39035102900,2112
39035103100,1215
39035103300,2468
39035103400,2364
39035103500,1782
39035103602,3270
39035103800,1738
39035103900,2033
39035104100,896
39035104200,1174
39035104300,1904
39035104400,1383
39035104600,1089
39035104800,1916
39035104900,2232
39035105100,3678
39035105300,2860
39035105400,3570
39035105500,2035
39035105602,2443
39035105700,4318
39035105900,3349
39035106100,3719
39035106200,3686
39035106300,2941
39035106400,1111
39035106500,2530
39035106600,3767
39035106800,2731
39035106900,3663
39035107000,1629
39035107101,4659
39035107701,2311
39035107802,4344
39035108201,1512
39035108301,1547
39035108400,1195
39035108701,4322
39035109301,1321
39035109701,2549
39035109801,2005
39035110501,756
39035110801,1195
39035110901,3378
39035111202,1247
39035111401,1073
39035111500,828
39035111600,972
39035111700,1067
39035111800,743
39035111902,719
39035112100,1941
39035112200,1097
39035112301,1452
39035112400,1044
39035112500,1306
39035112600,1030
39035112800,1028
39035113101,702
39035113500,1218
39035113600,929
39035113801,1765
39035114100,929
39035114300,1648
39035114501,1032
39035114600,1200
39035114700,479
39035114900,1880
39035115100,1313
39035115200,938
39035115300,880
39035115400,1659
39035115700,1479
39035115800,3115
39035115900,3895
39035116100,936
39035116200,1025
39035116300,1739
39035116400,3158
39035116500,1932
39035116600,2419
39035116700,1650
39035116800,2327
39035116900,1352
39035117101,2581
39035117102,1191
39035117201,3043
39035117202,1864
39035117300,2388
39035117400,1590
39035117500,2938
39035117600,2836
39035117700,4433
39035117800,2215
39035117900,2359
39035118101,2029
39035118200,1684
39035118301,2287
39035118400,1573
39035118500,879
39035118602,1660
39035118700,3940
39035118800,2894
39035118900,1665
39035119100,142
39035119202,1197
39035119300,3615
39035119401,1921
39035119402,1760
39035119501,2674
39035119502,1845
39035119600,2000
39035119701,1513
39035119702,1758
39035119800,3239
39035119900,1734
39035120200,2652
39035120400,2306
39035120500,2629
39035120600,2627
39035120701,1438
39035120702,1675
39035120801,2042
39035120802,2052
39035121100,2539
39035121200,1736
39035121300,2196
39035121401,1806
39035121403,2525
39035121500,3149
39035121700,3670
39035121800,1838
39035121900,1272
39035122100,3311
39035122200,1714
39035122300,1750
39035123100,2574
39035123200,3203
39035123400,3752
39035123501,3496
39035123502,2791
39035123601,3085
39035123602,2919
39035123603,3342
39035123700,2636
39035123800,2402
39035123900,2582
39035124100,4953
39035124201,2803
39035124202,1665
39035124300,4509
39035124500,3798
39035124600,3686
39035126100,2963
39035127501,3319
39035130103,4468
39035130104,4169
39035130105,3390
39035130106,3442
39035131102,3323
39035131103,4194
39035131104,4284
39035132100,4793
39035132200,2845
39035132301,3401
39035132302,1829
39035133103,3448
39035133104,2606
39035134100,1375
39035134203,3384
39035134204,4360
39035134205,2837
39035134206,3059
39035134300,3986
39035135103,2205
39035135104,4199
39035135105,5827
39035135106,1285
39035136101,5734
39035136102,7591
39035136103,5943
39035137101,2358
39035137102,4559
39035137103,4085
39035138105,1192
39035138106,3447
39035138107,2083
39035138108,4125
39035138109,4099
39035138110,4010
39035140100,1468
39035140301,2389
39035140302,2573
39035140400,2615
39035140500,3492
39035140600,897
39035140701,2507
39035140702,1954
39035140800,3694
39035140900,2143
39035141000,1203
39035141100,4186
39035141200,3115
39035141300,2938
39035141400,2543
39035141500,1684
39035141601,1590
39035141602,1436
39035141700,1410
39035150100,2256
39035150300,1832
39035150400,1479
39035151100,1272
39035151200,1571
39035151300,1967
39035151400,1608
39035151500,1278
39035151600,1349
39035151700,1073
39035151800,1834
39035152101,2389
39035152102,4329
39035152201,3022
39035152202,4213
39035152301,2735
39035152302,4529
39035152303,3782
39035152400,1787
39035152501,3511
39035152502,2529
39035152603,1028
39035152604,4188
39035152701,2222
39035152702,2159
39035152703,1812
39035153103,2760
39035153104,3078
39035153105,3831
39035153106,3546
39035153107,3337
39035154100,2101
39035154200,1354
39035154300,1132
39035154400,2855
39035154501,3424
39035154502,3131
39035154601,4640
39035154603,3418
39035154604,3903
39035154700,2407
39035155101,5258
39035155102,3079
39035156101,1345
39035156102,5799
39035160100,1876
39035160200,2225
39035160300,1906
39035160400,3242
39035160500,3692
39035160601,5046
39035160602,2915
39035160700,1654
39035160800,1068
39035160900,3830
39035161000,1758
39035161100,3739
39035161200,2892
39035161300,2836
39035161400,3164
39035161500,3889
39035161600,2067
39035161700,2196
39035161800,1160
39035170101,2722
39035170102,5242
39035170201,2090
39035170202,3738
39035171102,4801
39035171103,3979
39035171104,4716
39035171203,2544
39035171204,1895
39035171205,2527
39035171206,2330
39035172101,2486
39035172102,3613
39035172103,5054
39035172201,3863
39035172202,3902
39035173103,2747
39035173104,4278
39035173105,2573
39035173106,3800
39035173107,2392
39035174103,2944
39035174104,2362
39035174105,2922
39035174106,2875
39035174107,3956
39035174203,3127
39035174204,3929
39035174205,4802
39035174206,1966
39035174207,3365
39035175103,6966
39035175104,6314
39035175105,4704
39035175106,3037
39035175201,6286
39035175202,3014
39035176100,2186
39035176200,5526
39035177101,3952
39035177103,3852
39035177104,3406
39035177201,4154
39035177202,3444
39035177302,2407
39035177303,4792
39035177304,3458
39035177403,3120
39035177404,2766
39035177405,4506
39035177406,4194
39035177501,4175
39035177503,3558
39035177504,3899
39035177505,4510
39035177604,2110
39035177605,2761
39035177606,3665
39035177607,4079
39035177608,5560
39035177609,2012
39035178101,2724
39035178102,4864
39035178201,3366
39035178204,4460
39035178205,2146
39035178206,2849
39035179101,3182
39035179102,2933
39035180102,4008
39035180103,3643
39035180104,2834
39035181100,6169
39035181201,5799
39035181203,3123
39035181204,5096
39035182103,2549
39035182104,2441
39035182105,3655
39035182106,3071
39035183100,2837
39035183200,2397
39035183300,4311
39035183401,2110
39035183402,1302
39035183501,3291
39035183502,3603
39035183603,1502
39035183604,2121
39035183605,2789
39035183606,1671
39035184103,3941
39035184104,1835
39035184105,4661
39035184106,2329
39035184108,7420
39035185101,2540
39035185102,2762
39035185103,2143
39035185104,4034
39035185201,1766
39035185202,4885
39035185203,3841
39035186103,4136
39035186104,2635
39035186105,3538
39035186106,5138
39035186107,5685
39035186201,5959
39035186202,4617
39035186203,3673
39035186205,5042
39035186206,4226
39035187103,2853
39035187104,3239
39035187105,3085
39035187106,4154
39035188103,3530
39035188104,1622
39035188105,3360
39035188106,2377
39035188107,2427
39035189105,4109
39035189107,4780
39035189108,5146
39035189109,3206
39035189110,4323
39035189111,6977
39035189112,3928
39035190502,2135
39035190503,1699
39035190504,10697
